id,address,clear_address,lat,lon
93365,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, СТАЧКИ ПРОСПЕКТ, ДОМ 201",ростовская ростов-на-дону стачки 201,47.21091285,39.63767943664869
93366,Ростовская область,ростовская ,61.0771764,41.9943256
93367,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, 3-Й МИКРОРАЙОН, 24",ростовская донецк 3-й 24,,
93368,"РОСТОВСКАЯ ОБЛАСТЬ, ЧЕРТКОВСКИЙ РАЙОН, ФЕДОРОВКА ХУТОР, МОЛОДЕЖНАЯ УЛИЦА, 8",ростовская чертковский федоровка молодежная 8,,
93369,"РОСТОВСКАЯ ОБЛАСТЬ, ЦЕЛИНСКИЙ РАЙОН, ХЛЕБОДАРНОЕ СЕЛО, ЦЕНТРАЛЬНАЯ УЛИЦА, ДОМ 2 ""А""","ростовская целинский хлебодарное центральная 2 ""а""",,
93370,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, МЕХАНИЧЕСКИЙ ПЕРЕУЛОК, 4",ростовская новочеркасск механический 4,47.4850494,40.101087250360116
93371,"РОСТОВСКАЯ ОБЛАСТЬ, ВОЛГОДОНСК ГОРОД, ЛАЗОРЕВЫЙ ПРОСПЕКТ, ДОМ 16Г, СТРОЕНИЕ 1",ростовская волгодонск лазоревый 16г строение 1,,
93372,"РОСТОВСКАЯ ОБЛАСТЬ, ЦИМЛЯНСКИЙ РАЙОН, ЖЕЛЕЗНОДОРОЖНЫЙ ХУТОР, САДОВАЯ УЛИЦА, 5",ростовская цимлянский железнодорожный садовая 5,47.9434941,41.9949081
93373,"РОСТОВСКАЯ ОБЛАСТЬ, БАТАЙСК ГОРОД, АВИАГОРОДОК МИКРОРАЙОН, ДОМ 33 А",ростовская батайск авиаок 33 а,,
93374,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, ГВАРДЕЙСКАЯ УЛИЦА, 12, А",ростовская новочеркасск гвардейская 12 а,47.4868546,40.0744177
93375,"РОСТОВСКАЯ ОБЛАСТЬ, ШАХТЫ ГОРОД, КРАСНЫЙ ШАХТЕР ПЕРЕУЛОК, ДОМ 43",ростовская шахты красный шахтер 43,47.7078902,40.2172051
93376,Ростовская область,ростовская ,61.0771764,41.9943256
93377,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, МОЛОДЕЖНАЯ УЛИЦА, 63",ростовская новочеркасск молодежная 63,,
93378,"РОСТОВСКАЯ ОБЛАСТЬ, РОДИОНОВО-НЕСВЕТАЙСКИЙ РАЙОН, РОДИОНОВО-НЕСВЕТАЙСКАЯ СЛОБОДА, ГВАРДЕЙЦЕВ-ТАНКИСТОВ УЛИЦА, ДОМ 24 ""А""","ростовская родионово-несветайский родионово-несветайская гвардейцев-танкистов 24 ""а""",,
93379,"РОСТОВСКАЯ ОБЛАСТЬ, ЦИМЛЯНСКИЙ РАЙОН, НОВОЦИМЛЯНСКАЯ СТАНИЦА, МИРА УЛИЦА, ДОМ 64",ростовская цимлянский новоцимлянская станица мира 64,,
93380,"РОСТОВСКАЯ ОБЛАСТЬ, БАТАЙСК ГОРОД, ОРДЖОНИКИДЗЕ УЛИЦА, ДОМ 2""А""","ростовская батайск орджоникидзе 2""а""",47.1283203,39.737755858405
93381,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, ТИМИРЯЗЕВА УЛИЦА, 44",ростовская донецк тимирязева 44,48.306394600000004,39.91512784937068
93382,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОЧЕРКАССК ГОРОД, КАЛИНИНА УЛИЦА, ДОМ 88",ростовская новочеркасск калинина 88,47.485340699999995,40.091591298273656
93383,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВСКИЙ РАЙОН, ПОБЕДА ХУТОР, ШКОЛЬНАЯ УЛИЦА, 8, Б",ростовская азовский победа школьная 8 б,,
93384,"РОСТОВСКАЯ ОБЛАСТЬ, ДУБОВСКИЙ РАЙОН, ЩЕГЛОВ ХУТОР, САДОВАЯ УЛИЦА, 39",ростовская дубовский щеглов садовая 39,47.4001195,42.6355269
93385,"РОСТОВСКАЯ ОБЛАСТЬ, РОДИОНОВО-НЕСВЕТАЙСКИЙ РАЙОН, АЛЕКСЕЕВО-ТУЗЛОВКА СЛОБОДА, ШКОЛЬНАЯ УЛИЦА, 10",ростовская родионово-несветайский алексеево-тузловка школьная 10,47.8442066,39.45120479823433
93386,"РОСТОВСКАЯ ОБЛАСТЬ, БАТАЙСК ГОРОД, ГОРОДСКОЙ ПЕРЕУЛОК, ДОМ 20",ростовская батайск ской 20,,
93453,"РОСТОВСКАЯ ОБЛАСТЬ, ШАХТЫ ГОРОД, КЛИМЕНКО ПРОСПЕКТ, ДОМ 17",ростовская шахты клименко 17,47.711232249999995,40.213247135591295
93387,"РОСТОВСКАЯ ОБЛАСТЬ, БЕЛОКАЛИТВИНСКИЙ РАЙОН, ГОЛОВКА ХУТОР, ПЕСЧАНАЯ УЛИЦА, 36",ростовская белокалитвинский головка песчаная 36,,
93388,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, МОЛОДЕЖНЫЙ ПЕРЕУЛОК, 10А",ростовская донецк молодежный 10а,,
93389,Ростовская область,ростовская ,61.0771764,41.9943256
93390,"РОСТОВСКАЯ ОБЛАСТЬ, ЦЕЛИНСКИЙ РАЙОН, ВОРОНОВО ПОСЕЛОК, САВИЦКОГО УЛИЦА, ДОМ 6",ростовская целинский вороново савицкого 6,,
93391,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, 3-Й МИКРОРАЙОН, ДОМ 41",ростовская донецк 3-й 41,,
93392,"РОСТОВСКАЯ ОБЛАСТЬ, ЗЕРНОГРАДСКИЙ РАЙОН, ЗЕРНОГРАД ГОРОД, ИМ ЕРЕМИНА УЛИЦА, ДОМ 50",ростовская зерноградский зерноград им еремина 50,,
93393,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВСКИЙ РАЙОН, СЕМИБАЛКИ СЕЛО, ЛЕНИНА УЛИЦА, 10А",ростовская азовский семибалки ленина 10а,47.0022989,39.033887147448915
93394,"РОСТОВСКАЯ ОБЛАСТЬ, ДУБОВСКИЙ РАЙОН, РОМАНОВ ХУТОР, МОЛОДЕЖНАЯ УЛИЦА, 36",ростовская дубовский романов молодежная 36,,
93395,"РОСТОВСКАЯ ОБЛАСТЬ, РОДИОНОВО-НЕСВЕТАЙСКИЙ РАЙОН, АГРАФЕНОВКА СЛОБОДА, ГАГАРИНА УЛИЦА, 29",ростовская родионово-несветайский аграфеновка гагарина 29,47.7380223,39.4922295
93396,"РОСТОВСКАЯ ОБЛАСТЬ, ДОНЕЦК ГОРОД, 12-Й КВАРТАЛ, 8, А",ростовская донецк 12-й квартал 8 а,,
